entryid,childDownloadUrl,parentDownloadUrl,name,result
1_7vnxxcdz,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_hxzlh4br/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_7vnxxcdz/format/download/protocol/https/flavorParamIds/0,WR1 Ronny_Bolla,OK
1_f9vk19ay,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_4s4fu55p/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_f9vk19ay/format/download/protocol/https/flavorParamIds/0,WR1_Gianluca_D'Amico,OK
1_222vu0hi,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_exhnommq/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_222vu0hi/format/download/protocol/https/flavorParamIds/0,WR1_Alexander_Phua,OK
1_j9q4h9ls,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_m2m3z4xv/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_j9q4h9ls/format/download/protocol/https/flavorParamIds/0,WR1_Caluser_Martina,OK
1_dt4507jc,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_laz9qqhh/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_dt4507jc/format/download/protocol/https/flavorParamIds/0,WR1_Fabio_Pernozzoli,OK
1_vuoy02m1,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_axm2i1dm/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_vuoy02m1/format/download/protocol/https/flavorParamIds/0,WR1-HS20/21_Tom_Elmer ,OK
1_v24864hx,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_u2bv8oie/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_v24864hx/format/download/protocol/https/flavorParamIds/0,WR1_Christoph_Tarnawa,OK
1_m83nlrec,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_vpymczh2/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_m83nlrec/format/download/protocol/https/flavorParamIds/0,"WR 1_Corinne_Krapf - Januar 23. 2021, 1:33:49 pm",OK
1_bprncoze,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_q3i9ch3a/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_bprncoze/format/download/protocol/https/flavorParamIds/0,WR1_Elio Toto,OK
1_5vyivco9,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_kbi0u7zy/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_5vyivco9/format/download/protocol/https/flavorParamIds/0,WR1_Marianne_Frangoulis,OK
1_iadeguxg,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_w2yc4peh/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_iadeguxg/format/download/protocol/https/flavorParamIds/0,WR1_Caroline_Serena,OK
1_ua4zpni0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_2u99q3xw/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ua4zpni0/format/download/protocol/https/flavorParamIds/0,WR1_Angela_Schweiger,OK
